angle_deg,inner_radius,outer_radius,thickness,inner_radius_mm,outer_radius_mm,thickness_mm
76.000,629.337309,1482.408998,853.071688,12.586746,29.648180,17.061434
77.000,647.448593,1482.427322,834.978729,12.948972,29.648546,16.699575
78.000,666.620409,1482.445646,815.825236,13.332408,29.648913,16.316505
79.000,685.223539,1482.463970,797.240431,13.704471,29.649279,15.944809
80.000,703.438623,1482.482294,779.043671,14.068772,29.649646,15.580873
81.000,721.489717,1482.500618,761.010900,14.429794,29.650012,15.220218
82.000,727.806084,1482.518942,761.010900,14.556122,29.650379,15.220218
83.000,713.223315,1482.537266,769.313951,14.264466,29.650745,15.386279
84.000,701.335335,1482.555589,781.220255,14.026707,29.651112,15.624405
85.000,692.009753,1482.573913,790.564160,13.840195,29.651478,15.811283
86.000,681.140660,1482.592237,801.451577,13.622813,29.651845,16.029032
87.000,670.572516,1482.610561,812.038045,13.411450,29.652211,16.240761
88.000,663.252667,1482.628885,819.376219,13.265053,29.652578,16.387524
89.000,652.127603,1482.647209,830.519607,13.042552,29.652944,16.610392
90.000,641.832413,1482.665533,840.833120,12.836648,29.653311,16.816662
91.000,631.568772,1482.683857,851.115086,12.631375,29.653677,17.022302
92.000,625.686583,1482.702181,857.015599,12.513732,29.654044,17.140312
93.000,618.314916,1482.720505,863.464615,12.366298,29.654410,17.269292
94.000,619.274214,1482.738829,863.482939,12.385484,29.654777,17.269659
95.000,619.274214,1482.757153,863.482939,12.385484,29.655143,17.269659
96.000,619.274214,1482.775477,863.501263,12.385484,29.655510,17.270025
97.000,619.274214,1482.793801,863.519587,12.385484,29.655876,17.270392
98.000,588.866958,1482.812125,893.945167,11.777339,29.656242,17.878903
99.000,588.866958,1482.830449,893.945167,11.777339,29.656609,17.878903
100.000,657.198521,1482.848773,825.650251,13.143970,29.656975,16.513005
101.000,682.524867,1482.867097,800.342230,13.650497,29.657342,16.006845
102.000,709.622152,1482.885421,773.263269,14.192443,29.657708,15.465265
103.000,737.159887,1482.903745,745.743857,14.743198,29.658075,14.914877
104.000,764.536729,1482.922069,718.385339,15.290735,29.658441,14.367707
105.000,786.179485,1482.940393,696.760907,15.723590,29.658808,13.935218
106.000,808.631559,1482.958717,674.327157,16.172631,29.659174,13.486543
107.000,832.531559,1482.977041,650.445481,16.650631,29.659541,13.008910
108.000,855.845767,1482.995365,627.149598,17.116915,29.659907,12.542992
109.000,871.871146,1483.013689,611.160867,17.437423,29.660274,12.223217
110.000,871.871146,1483.032013,611.160867,17.437423,29.660640,12.223217
111.000,871.871146,1483.050337,611.179191,17.437423,29.661007,12.223584
112.000,871.871146,1483.068660,611.197515,17.437423,29.661373,12.223950
113.000,871.871146,1483.086984,611.215839,17.437423,29.661740,12.224317
